"Cnt","Area","Est","Est.km"
"Russia",7686381,7734808489815.36,7734808.48981536
"Honduras",2082,2075281021.46759,2075.28102146759
"Ecuador",237350,236292677407.646,236292.677407646
"Mexico",3195534,3187013190022.05,3187013.19002205
"Liberia",252894,251780875472.728,251780.875472728
"Peru",16169,16097263384.0249,16097.2633840249
"Iran",215584,215332074662.03,215332.07466203
"Line Group",1648238,1641193476315.3,1641193.4763153
"Estonia",36257,36450930031.837,36450.930031837
"Brunei",43331,43143610389.6964,43143.6103896963
"Saudi Arabia",224780,224219214437.123,224219.214437123
"Haiti",13934,13890256724.5699,13890.2567245699
"Finland",81072,81552999831.3758,81552.9998313758
"Cook Islands",1976459,1969553152681.01,1969553.15268101
"Nigeria",179839,179048197366.193,179048.197366193
"Grenada",25670,25570670131.4879,25570.670131488
"Clipperton Island",437420,435657050726.102,435657.050726102
"United States",2452565,2452145376467.54,2452145.37646754
"Sudan",63012,62826270917.1416,62826.2709171416
"Canada",24583,24772310680.436,24772.310680436
"Guyana",135625,135059795090.623,135059.795090623
"Kergu?len",549393,550816749235.671,550816.749235671
"Angola",497800,495866072342.143,495866.072342143
"Wake Island",408185,406969590295.146,406969.590295146
"Saint Helena",450770,449214735936.109,449214.735936109
"Montenegro",6374,6383199223.28963,6383.19922328963
"Guernsey",6509,6530518213.21492,6530.51821321492
"Dominica",28653,28552298849.5068,28552.2988495068
"East Timor",72471,72175065484.1574,72175.0654841574
"Micronesia",3023481,3010644060024.75,3010644.06002475
"Bajo Nuevo Bank",1556,1550457367.27996,1550.45736727996
"North Korea",114262,114379098523.685,114379.098523685
"Serrana Bank",3703,3689410770.76201,3689.41077076201
"Alaska",3664694,3682911642376.06,3682911.64237606
"Mozambique",567883,566292052996.17,566292.05299617
"Turkmenistan",61171,61225982988.2888,61225.9829882888
"Turkey",261927,262233063854.364,262233.063854364
"Sierra Leone",161275,160583518913.42,160583.51891342
"Denmark",104521,105020604865.103,105020.604865103
"Montserrat",7213,7188310647.14413,7188.31064714413
"Bassas da India",121042,120705857790.006,120705.857790006
"Aruba",30126,30014638606.4594,30014.6386064594
"Argentina",1069356,1072052770224.1,1072052.7702241
"Western Sahara",284730,284056518142.503,284056.518142503
"Monaco",287,287706322.131001,287.706322131
"Saint Vincent and the Grenadines",36381,36243882497.5011,36243.8824975011
"Sint-Maarten",467,465981455.641489,465.981455641489
"France",2853,2859492199.68618,2859.49219968618
"Cuba",353196,352258717234.75,352258.71723475
"Tokelau",321889,320548057944.715,320548.057944715
"New Zealand",4098264,4104550802770.84,4104550.80277084
"Ecuador",18746,18662644887.7567,18662.6448877567
"R?union",315982,315151244501.584,315151.244501584
"Singapore",717,714105900.797717,714.105900797717
"Georgia",22907,22944057755.7088,22944.0577557088
"Pitcairn",844105,842291177759.411,842291.177759411
"Benin",35648,35492638286.2968,35492.6382862968
"Federal Republic of Somalia",785214,781842968554.603,781842.968554603
"Bangladesh",112485,112165843755.493,112165.843755493
"Sao Tome and Principe",131430,130843553349.159,130843.553349159
"Cocos Islands",469260,467439784883.018,467439.784883018
"Islas San F?lix and San Ambrosio",451791,450960417832.698,450960.417832698
"Costa Rica",17414,17337241596.5321,17337.2415965321
"Costa Rica",584221,581725543823.912,581725.543823912
"Guatemala",111121,110695038140.43,110695.03814043
"Haiti",103818,103485331940.315,103485.331940315
"Senegal",63712,63460208950.3538,63460.2089503538
"Norfolk Island",431165,430600058614.252,430600.058614252
"Heard and McDonald Islands",415581,417320571165.651,417320.571165651
"Saint-Barth?lemy",4193,4179215985.23505,4179.21598523505
"Italy",536134,536653584789.774,536653.584789774
"South Georgia and the South Sandwich Islands",1281442,1287582585099.66,1287582.58509965
"Kenya",50453,50228580822.6116,50228.5808226116
"Brazil",3216502,3205183434990.87,3205183.43499087
"Jamaica",257777,256908542086.811,256908.542086811
"Colombia",874,868704255.139473,868.704255139473
"Guyana",3626,3611536340.11271,3611.53634011271
"Macquarie Island",473522,475646501762.307,475646.501762307
"Norway",926633,933027088416.116,933027.088416116
"Seychelles",1347251,1341503564428.82,1341503.56442882
"Uruguay",143077,143092013295.291,143092.013295291
"Barbados",67,67157538.7188407,67.1575387188407
"Mauritania",173728,173179536426.477,173179.536426477
"Melilla",27,27058523.6797084,27.0585236797084
"Bosnia and Herzegovina",13,12979787.7892873,12.9797877892873
"Martinique",47958,47787407170.5985,47787.4071705985
"United Kingdom",729123,732647663277.482,732647.663277482
"Tonga",667957,666052041738.752,666052.041738752
"Eritrea",78382,78109819805.7392,78109.8198057392
"Panama",332707,331317763322.906,331317.763322906
"Republic of Mauritius",1282422,1278181830502.74,1278181.83050274
"Algeria",131138,131193115468.949,131193.115468949
"Niue",319089,318140431334.28,318140.43133428
"Nicaragua",214630,213813389710.842,213813.389710842
"Taiwan",73928,73794325497.2886,73794.3254972886
"Howland and Baker islands",436839,434893794344.9,434893.7943449
"Guinea-Bissau",107301,106870167004.791,106870.167004791
"French Polynesia",4781060,4766688961881.67,4766688.96188167
"French Guiana",132120,131554467458.324,131554.467458324
"New Caledonia",187632,187183955547.456,187183.955547456
"Alhucemas Islands",14,14058357.5376397,14.0583575376397
"Spain",560957,561763035060.902,561763.035060902
"Hawaii",2480254,2474715093991.08,2474715.09399108
"Belgium",3482,3494961374.80779,3494.96137480779
"Collectivity of Saint Martin",1103,1099553669.84768,1099.55366984768
"Thailand",299918,298682740260.176,298682.740260176
"Palestine",1121,1120126162.09308,1120.12616209308
"Trindade",473819,472480842149.198,472480.842149198
"Juan de Nova Island",62982,62775110857.4928,62775.1108574928
"Iceland",45202,45531912879.2611,45531.9128792611
