yy,flag,eez,fleet,alb_kg,alb_mt,bet_kg,bet_mt,skj_kg,skj_mt,yft_kg,yft_mt,oth_kg,oth_mt
1991,NC,I7,,7398.742,7.399,143.663,0.144,0,0,5001.649,5.002,0,0
1991,NC,I8,,3239.449,3.239,348.897,0.349,0,0,766.051,0.766,0,0
1991,NC,MA,,27646.735,27.647,1806.055,1.806,0,0,36231.034,36.231,0,0
1991,NC,NC,,865230.287,865.230,57434.582,57.435,0,0,519278.235,519.278,0,0
1991,NC,WF,,5484.788,5.485,266.803,0.267,0,0,5723.037,5.723,0,0
1991,NZ,I7,,4508.021,4.508,2652.114,2.652,0,0,0,0,0,0
1991,NZ,NZ,,80491.979,80.492,41347.886,41.348,0,0,6000,6,0,0
1991,PF,PF,,100000,100,45000,45,1000,1,118000,118,0,0
1991,PH,PH,,0,0,59000,59,0,0,484000,484,0,0
1991,TO,I7,,55345.778,55.346,554.436,0.554,661.266,0.661,3141.216,3.141,0,0
1991,TO,TO,,115654.222,115.654,4445.565,4.446,1338.734,1.339,15858.784,15.859,0,0
1991,TW,CK,DW,376421,376.421,53242,53.242,2630,2.630,73603,73.603,0,0
1991,TW,FJ,DW,170784,170.784,2547,2.547,77,0.077,4616,4.616,0,0
1991,TW,FM,OS,0,0,211468,211.468,0,0,203431,203.431,0,0
1991,TW,GL,OS,0,0,699,0.699,0,0,670,0.670,0,0
1991,TW,H4,DW,20563,20.563,7436,7.436,1390,1.390,6788,6.788,0,0
1991,TW,H5,DW,7634,7.634,6160,6.160,40,0.040,9557,9.557,0,0
1991,TW,I1,OS,0,0,1622483.100,1622.483,0,0,1189764.085,1189.764,0,0
1991,TW,I2,DW,8810,8.810,1655,1.655,60,0.060,1750,1.750,0,0
1991,TW,I3,OS,0,0,695349.900,695.350,0,0,509898.894,509.899,0,0
1991,TW,I4,DW,0,0,891445.500,891.446,1211.500,1.212,1052743.011,1052.743,0,0
1991,TW,I5,DW,0,0,891445.500,891.446,1211.500,1.212,1052743.011,1052.743,0,0
1991,TW,I6,OD,170500,170.500,338700,338.700,192000,192,2606700,2606.700,0,0
1991,TW,I7,DW,13170792.860,13170.793,0,0,0,0,0,0,0,0
1991,TW,I8,DW,17660,17.660,381,0.381,75,0.075,3518,3.518,0,0
1991,TW,I9,DW,33726,33.726,1276,1.276,170,0.170,3666,3.666,0,0
1991,TW,ID,OS,89,0.089,47487,47.487,0,0,41322,41.322,0,0
1991,TW,LN,DW,9565,9.565,15141,15.141,0,0,2059,2.059,0,0
1991,TW,MH,OS,0,0,28371,28.371,0,0,19561,19.561,0,0
1991,TW,NU,DW,16943,16.943,440,0.440,0,0,802,0.802,0,0
1991,TW,PH,OD,0,0,225800,225.800,128000,128,1737800,1737.800,0,0
1991,TW,PH,OS,0,0,20968,20.968,0,0,8044,8.044,0,0
1991,TW,PW,OS,0,0,155374,155.374,0,0,142209,142.209,0,0
1991,TW,SB,DW,48788,48.788,3614,3.614,15,0.015,17332,17.332,0,0
1991,TW,SB,OS,0,0,13800,13.800,0,0,18100,18.100,0,0
1991,TW,TW,OD,170500,170.500,564500,564.500,320000,320,4344500,4344.500,0,0
1991,TW,VU,DW,93313,93.313,3217,3.217,120,0.120,11823,11.823,0,0
1991,US,AS,AS,1000,1,0,0,0,0,0,0,0,0
1991,US,HW,HW,111987.754,111.988,850946.945,850.947,0,0,470473.746,470.474,0,0
1991,US,I5,HW,19665.408,19.665,45149.456,45.149,0,0,10887.715,10.888,0,0
1991,US,I6,HW,181139.232,181.139,648822.358,648.822,0,0,261579.546,261.580,0,0
1991,US,PY,HW,207.607,0.208,11081.225,11.081,0,0,13058.993,13.059,0,0
1992,AU,AU,AU,214000,214,33728.328,33.728,62000,62,1016956.228,1016.956,0,0
1992,AU,AU,JV,106000,106,0,0,0,0,0,0,0,0
1992,AU,I7,AU,0,0,271.672,0.272,0,0,43.772,0.044,0,0
1992,CN,FM,,0,0,197556,197.556,0,0,158168,158.168,0,0
1992,CN,I1,,0,0,125636,125.636,0,0,161301,161.301,0,0
1992,CN,I4,,0,0,110129,110.129,0,0,117075,117.075,0,0
1992,CN,I5,,0,0,110129,110.129,0,0,117075,117.075,0,0
1992,CN,PW,,0,0,856550,856.550,24,0.024,761381,761.381,0,0
1992,FJ,FJ,,243000,243,187000,187,0,0,202000,202,0,0
1992,FM,FM,,0,0,35299.788,35.300,0,0,76036.726,76.037,0,0
1992,FM,I1,,0,0,11700.212,11.700,0,0,16963.274,16.963,0,0
1992,ID,ID,,0,0,2753000,2753,0,0,12248000,12248,0,0
1992,JP,AU,DW,958934.944,958.935,359081.986,359.082,16918,16.918,1209528.079,1209.528,0,0
1992,JP,FM,DW,10111.046,10.111,4357423.857,4357.424,0,0,5932300.936,5932.301,0,0
1992,JP,GL,DW,2499.939,2.500,1257404.891,1257.405,0,0,1945427.123,1945.427,0,0
1992,JP,H5,DW,0,0,2448.158,2.448,0,0,5747.780,5.748,0,0
1992,JP,I1,DW,169.820,0.170,822496.631,822.497,0,0,1072448.385,1072.448,0,0
1992,JP,I2,DW,2901.064,2.901,525187.426,525.187,0,0,743528.124,743.528,0,0
1992,JP,I3,DW,21200.708,21.201,1702220.768,1702.221,0,0,1608189.937,1608.190,0,0
1992,JP,I4,DW,80198.558,80.199,8663183.962,8663.184,0,0,3227646.492,3227.646,0,0
1992,JP,I5,DW,54245.578,54.246,4772272.450,4772.272,0,0,927700.560,927.701,0,0
1992,JP,I6,DW,7935120.599,7935.121,9835553.239,9835.553,0,0,1632465.628,1632.466,0,0
1992,JP,I7,DW,1840795.357,1840.795,510097.557,510.098,0,0,1335006.038,1335.006,0,0
1992,JP,ID,DW,0,0,21603.949,21.604,0,0,12693.098,12.693,0,0
1992,JP,IW,DW,0,0,73123.782,73.124,0,0,12419.492,12.419,0,0
1992,JP,JP,CS,8036000,8036,7302000,7302,79000,79,8452000,8452,0,0
1992,JP,JP,DW,1191348.310,1191.348,903994.789,903.995,0,0,1043111.993,1043.112,0,0
1992,JP,MH,DW,14734.958,14.735,3201110.005,3201.110,0,0,2852278.965,2852.279,0,0
1992,JP,NC,DW,85642.947,85.643,6290.967,6.291,0,0,116797.076,116.797,0,0
1992,JP,NF,DW,42499.996,42.500,19672.074,19.672,887,0.887,25434.946,25.435,0,0
1992,JP,NZ,DW,325911.046,325.911,71105.860,71.106,3,0.003,389.991,0.390,0,0
1992,JP,PF,DW,2550,2.550,26611.061,26.611,0,0,36131.890,36.132,0,0
1992,JP,PG,DW,0,0,60905.074,60.905,0,0,47610.094,47.610,0,0
1992,JP,PH,DW,179.961,0.180,1214.180,1.214,0,0,3736.057,3.736,0,0
1992,JP,PW,DW,299.977,0.300,348966.105,348.966,0,0,325855.969,325.856,0,0
1992,JP,SB,DW,266655.064,266.655,532030.846,532.031,0,0,1406552.112,1406.552,0,0
1992,KR,CK,,582,0.582,7587,7.587,0,0,5646,5.646,0,0
1992,KR,FM,,0,0,64151,64.151,0,0,18860,18.860,0,0
1992,KR,GL,,13283,13.283,281426,281.426,0,0,428145,428.145,0,0
1992,KR,H4,,8764,8.764,43293,43.293,24,0.024,49057,49.057,0,0
1992,KR,H5,,9719,9.719,107470,107.470,0,0,92865,92.865,0,0
1992,KR,I1,,0,0,1440,1.440,0,0,1140,1.140,0,0
1992,KR,I2,,440,0.440,281952,281.952,0,0,77504,77.504,0,0
1992,KR,I3,,0,0,47913,47.913,0,0,47410,47.410,0,0
1992,KR,I4,,969432.500,969.433,7742242.500,7742.243,3474,3.474,5419591.564,5419.592,0,0
1992,KR,I5,,969432.500,969.433,7742242.500,7742.243,3474,3.474,5419591.564,5419.592,0,0
1992,KR,I6,,0,0,126,0.126,0,0,1857,1.857,0,0
1992,KR,I7,,440,0.440,61,0.061,0,0,22,0.022,0,0
1992,KR,I9,,83,0.083,128,0.128,0,0,951,0.951,0,0
1992,KR,IW,,0,0,1100,1.100,0,0,480,0.480,0,0
1992,KR,LN,,49398,49.398,627657,627.657,0,0,358455,358.455,0,0
1992,KR,MH,,0,0,5604,5.604,0,0,5028,5.028,0,0
1992,KR,PF,,73327,73.327,447933,447.933,0,0,175731,175.731,0,0
1992,KR,PX,,79010,79.010,662436,662.436,0,0,634856,634.856,0,0
1992,KR,TV,,16089,16.089,24238,24.238,28,0.028,35810,35.810,0,0
1992,MH,MH,,0,0,6000,6,0,0,3000,3,0,0
1992,NC,I7,,1967.550,1.968,229.861,0.230,0,0,849.922,0.850,0,0
1992,NC,NC,,690032.450,690.032,26770.139,26.770,0,0,372150.078,372.150,0,0
1992,NZ,I7,,1533.291,1.533,134.562,0.135,0,0,0,0,0,0
1992,NZ,NZ,,207466.709,207.467,38865.438,38.865,0,0,13000,13,0,0
1992,PF,PF,,195000,195,57000,57,7000,7,150000,150,0,0
1992,PH,PH,,0,0,59000,59,0,0,484000,484,0,0
1992,PW,PW,,0,0,90000,90,0,0,48000,48,0,0
1992,TO,I7,,57817.442,57.817,1159.598,1.160,336.700,0.337,1712.547,1.713,0,0
1992,TO,TO,,141182.558,141.183,3840.402,3.840,1663.300,1.663,17287.453,17.287,0,0
1992,TW,CK,DW,129571,129.571,17693,17.693,0,0,20747,20.747,0,0
1992,TW,FJ,DW,150480,150.480,1360,1.360,4,0.004,6991,6.991,0,0
1992,TW,FM,OS,855,0.855,1058499,1058.499,0,0,1104574,1104.574,0,0
1992,TW,H5,DW,1754,1.754,6018,6.018,0,0,1773,1.773,0,0
1992,TW,I1,OS,0,0,1190398.977,1190.399,0,0,1175357.400,1175.357,0,0
1992,TW,I3,OS,0,0,510170.990,510.171,0,0,503724.600,503.725,0,0
1992,TW,I4,DW,0,0,917284,917.284,73952,73.952,591239,591.239,0,0
1992,TW,I5,DW,0,0,917284,917.284,73952,73.952,591239,591.239,0,0
1992,TW,I6,OD,151000,151,325500,325.500,20400,20.400,3045300,3045.300,0,0
1992,TW,I7,DW,19145813.200,19145.813,0,0,0,0,0,0,0,0
1992,TW,I8,DW,37314,37.314,805,0.805,0,0,5075,5.075,0,0
1992,TW,I9,DW,12205,12.205,1923,1.923,20,0.020,1743,1.743,0,0
1992,TW,ID,OS,0,0,30917,30.917,0,0,14946,14.946,0,0
1992,TW,MH,OS,0,0,16453,16.453,0,0,4179,4.179,0,0
1992,TW,NU,DW,5195,5.195,202,0.202,0,0,60,0.060,0,0
1992,TW,PH,OD,0,0,217000,217,13600,13.600,2030200,2030.200,0,0
1992,TW,PH,OS,0,0,865,0.865,0,0,3070,3.070,0,0
1992,TW,PW,OS,0,0,523696,523.696,0,0,378149,378.149,0,0
1992,TW,SB,DW,21657,21.657,2858,2.858,12,0.012,4100,4.100,0,0
1992,TW,TW,OD,151000,151,542500,542.500,34000,34,5075500,5075.500,0,0
1992,TW,VU,DW,493011,493.011,20573,20.573,60,0.060,91033,91.033,0,0
