yy,flag,eez,days,bet_kg,bet_mt,skj_kg,skj_mt,yft_kg,yft_mt
1992,US,I4,72.761,37970,37.970,1338681,1338.681,253579,253.579
1992,US,I5,0.983,0,0,0,0,0,0
1992,US,ID,2,0,0,0,0,0,0
1992,US,MH,436.564,360908,360.908,8470965,8470.965,2191585,2191.585
1992,US,MP,0.983,0,0,0,0,0,0
1992,US,NC,1.967,0,0,0,0,0,0
1992,US,NF,1.967,0,0,0,0,0,0
1992,US,NR,827.899,587371,587.371,15944447,15944.447,4804626,4804.626
1992,US,NZ,1,0,0,0,0,0,0
1992,US,PG,528.990,399477,399.477,6743228,6743.228,3860664,3860.664
1992,US,PW,1.967,0,0,0,0,0,0
1992,US,PX,998.002,1086078,1086.078,32300804,32300.804,5899706,5899.706
1992,US,SB,2.950,0,0,0,0,0,0
1992,US,TK,86.526,891,0.891,667030,667.030,3321,3.321
1992,US,TV,258.595,257508,257.508,3702169,3702.169,1614930,1614.930
1992,US,WF,5.900,0,0,97668,97.668,0,0
1992,US,WS,17.699,0,0,26618,26.618,0,0
1993,AU,AU,361,0,0,3855000,3855,6000,6
1993,AU,FM,66.407,36350.877,36.351,235801.679,235.802,185463.660,185.464
1993,AU,I1,2.012,17192.983,17.193,0,0,87719.300,87.719
1993,AU,I2,90.555,44456.141,44.456,871957.286,871.957,226817.045,226.817
1993,AU,PG,4.025,0,0,4241.035,4.241,0,0
1993,FM,FM,284.501,100949,100.949,1476291,1476.291,707811,707.811
1993,FM,GL,363.363,352143,352.143,4671429,4671.429,1911797,1911.797
1993,FM,H4,15.972,38417,38.417,379589,379.589,127083,127.083
1993,FM,HB,0.998,0,0,0,0,0,0
1993,FM,I1,22.960,10159,10.159,286058,286.058,99935,99.935
1993,FM,I2,409.283,457497,457.497,3883660,3883.660,1804196,1804.196
1993,FM,I4,7.986,13958,13.958,232224,232.224,73118,73.118
1993,FM,MH,2.995,2895,2.895,18586,18.586,10624,10.624
1993,FM,NR,5.990,0,0,0,0,0,0
1993,FM,PG,15.972,5859,5.859,84672,84.672,25013,25.013
1993,FM,PX,18.966,154,0.154,11748,11.748,4947,4.947
1993,FM,SB,0.998,1379,1.379,9990,9.990,4820,4.820
1993,FM,TK,0.998,0,0,0,0,0,0
1993,FM,WS,0.998,0,0,0,0,0,0
1993,ID,ID,0,1048000,1048,26080000,26080,7835000,7835
1993,JP,FM,4240.901,250000,250,56703000.624,56703.001,33752000.008,33752
1993,JP,GL,14.211,0,0,102999.630,103,117999.815,118
