yy,flag,eez,alb_kg,alb_mt,bet_kg,bet_mt,skj_kg,skj_mt,yft_kg,yft_mt,oth_kg,oth_mt
1991,JP,I3,41819.559,41.820,1520010.008,1520.010,0,0,1456979.545,1456.980,0,0
1991,JP,I4,223471.631,223.472,6327572.984,6327.573,0,0,2946220.314,2946.220,0,0
1991,JP,I5,110301.274,110.301,3774238.895,3774.239,0,0,1059683.699,1059.684,0,0
1991,JP,I6,6569358.632,6569.359,7913637.354,7913.637,0,0,1306929.657,1306.930,0,0
1991,JP,I7,1711649.695,1711.650,386053.908,386.054,0,0,1093689.922,1093.690,0,0
1991,JP,I9,4571.490,4.571,13386.768,13.387,0,0,2717.403,2.717,0,0
1991,JP,ID,0,0,2587.928,2.588,0,0,1065.073,1.065,0,0
1991,JP,IW,0,0,22641.596,22.642,0,0,3373.010,3.373,0,0
1991,JP,JP,7747982.711,7747.983,7604784.505,7604.785,82000,82,8450362.955,8450.363,0,0
1991,JP,LN,0,0,4199.994,4.200,0,0,10199.959,10.200,0,0
1991,JP,MH,29494.987,29.495,1652197.873,1652.198,0,0,1335786.002,1335.786,0,0
1991,JP,NC,201932.023,201.932,9126.110,9.126,0,0,156970.974,156.971,0,0
1991,JP,NF,3322.014,3.322,2898.023,2.898,0,0,3219.958,3.220,0,0
1991,JP,NZ,348912.965,348.913,93892.138,93.892,0,0,6579.969,6.580,0,0
1991,JP,PF,10488.009,10.488,307514.119,307.514,0,0,100108.037,100.108,0,0
1991,JP,PW,580.038,0.580,509426.990,509.427,0,0,349873.060,349.873,0,0
1991,JP,PX,280.956,0.281,19993.005,19.993,0,0,31499.947,31.500,0,0
1991,JP,SB,64235.042,64.235,1409308.966,1409.309,0,0,2750553.022,2750.553,0,0
1991,KR,CK,9794,9.794,13995,13.995,530,0.530,12932,12.932,0,0
1991,KR,FM,0,0,5220,5.220,0,0,11505,11.505,0,0
1991,KR,GL,22220,22.220,282437,282.437,0,0,288038,288.038,0,0
1991,KR,H4,23273,23.273,67390,67.390,100,0.100,93804,93.804,0,0
1991,KR,H5,7907,7.907,52863,52.863,0,0,54713,54.713,0,0
1991,KR,I2,9335,9.335,11043,11.043,250,0.250,68768,68.768,0,0
1991,KR,I4,364940.006,364.940,5155858.500,5155.859,4165,4.165,2719974.074,2719.974,0,0
1991,KR,I5,364940.006,364.940,5155858.500,5155.859,4165,4.165,2719974.074,2719.974,0,0
1991,KR,I7,108810,108.810,1508,1.508,280,0.280,3525,3.525,0,0
1991,KR,I8,197,0.197,58,0.058,0,0,25,0.025,0,0
1991,KR,LN,92443,92.443,775480,775.480,10,0.010,640141,640.141,0,0
1991,KR,PF,139303,139.303,674433,674.433,50,0.050,294884,294.884,0,0
1991,KR,PG,2428,2.428,6619,6.619,0,0,12288,12.288,0,0
1991,KR,PX,44454,44.454,303831,303.831,0,0,420857,420.857,0,0
1991,KR,SB,21694,21.694,1657,1.657,0,0,6064,6.064,0,0
1991,KR,TV,66262,66.262,35749,35.749,1450,1.450,72508,72.508,0,0
1991,NC,I7,7398.742,7.399,143.663,0.144,0,0,5001.649,5.002,0,0
1991,NC,I8,3239.449,3.239,348.897,0.349,0,0,766.051,0.766,0,0
1991,NC,MA,27646.735,27.647,1806.055,1.806,0,0,36231.034,36.231,0,0
1991,NC,NC,865230.287,865.230,57434.582,57.435,0,0,519278.235,519.278,0,0
1991,NC,WF,5484.788,5.485,266.803,0.267,0,0,5723.037,5.723,0,0
1991,NZ,I7,4508.021,4.508,2652.114,2.652,0,0,0,0,0,0
1991,NZ,NZ,80491.979,80.492,41347.886,41.348,0,0,6000,6,0,0
1991,PF,PF,100000,100,45000,45,1000,1,118000,118,0,0
1991,PH,PH,0,0,59000,59,0,0,484000,484,0,0
1991,TO,I7,55345.778,55.346,554.436,0.554,661.266,0.661,3141.216,3.141,0,0
1991,TO,TO,115654.222,115.654,4445.565,4.446,1338.734,1.339,15858.784,15.859,0,0
1991,TW,CK,376421,376.421,53242,53.242,2630,2.630,73603,73.603,0,0
1991,TW,FJ,170784,170.784,2547,2.547,77,0.077,4616,4.616,0,0
1991,TW,FM,0,0,211468,211.468,0,0,203431,203.431,0,0
1991,TW,GL,0,0,699,0.699,0,0,670,0.670,0,0
1991,TW,H4,20563,20.563,7436,7.436,1390,1.390,6788,6.788,0,0
1991,TW,H5,7634,7.634,6160,6.160,40,0.040,9557,9.557,0,0
1991,TW,I1,0,0,1622483.100,1622.483,0,0,1189764.085,1189.764,0,0
1991,TW,I2,8810,8.810,1655,1.655,60,0.060,1750,1.750,0,0
1991,TW,I3,0,0,695349.900,695.350,0,0,509898.894,509.899,0,0
1991,TW,I4,0,0,891445.500,891.446,1211.500,1.212,1052743.011,1052.743,0,0
1991,TW,I5,0,0,891445.500,891.446,1211.500,1.212,1052743.011,1052.743,0,0
1991,TW,I6,170500,170.500,338700,338.700,192000,192,2606700,2606.700,0,0
1991,TW,I7,13170792.860,13170.793,0,0,0,0,0,0,0,0
1991,TW,I8,17660,17.660,381,0.381,75,0.075,3518,3.518,0,0
1991,TW,I9,33726,33.726,1276,1.276,170,0.170,3666,3.666,0,0
1991,TW,ID,89,0.089,47487,47.487,0,0,41322,41.322,0,0
1991,TW,LN,9565,9.565,15141,15.141,0,0,2059,2.059,0,0
1991,TW,MH,0,0,28371,28.371,0,0,19561,19.561,0,0
1991,TW,NU,16943,16.943,440,0.440,0,0,802,0.802,0,0
1991,TW,PH,0,0,246768,246.768,128000,128,1745844,1745.844,0,0
1991,TW,PW,0,0,155374,155.374,0,0,142209,142.209,0,0
1991,TW,SB,48788,48.788,17414,17.414,15,0.015,35432,35.432,0,0
1991,TW,TW,170500,170.500,564500,564.500,320000,320,4344500,4344.500,0,0
1991,TW,VU,93313,93.313,3217,3.217,120,0.120,11823,11.823,0,0
