"","eez","Dist"
"259","Line Group",142001.133457257
"260","Johnston Atoll",90689.7390389596
"261","French Polynesia",135251.061807058
"262","Cook Islands",145916.93926784
"263","Gilbert Islands",77751.6109309703
"264","Philippines",98770.4392679873
"265","Marshall Islands",57387.1382133231
"266","Phoenix Group",118347.918617208
"267","French Polynesia",158829.790661541
"268","Nauru",67825.4441414936
"269","Marshall Islands",53135.5226373011
"270","Howland and Baker islands",40347.762842908
"271","Northern Mariana Islands",174720.819547391
"272","Howland and Baker islands",27920.8896252516
"273","Micronesia",75404.2281019745
"274","Micronesia",46619.9788177478
"275","Palmyra Atoll",76865.6844968532
"276","Johnston Atoll",120275.079738658
"277","Micronesia",102237.671895275
"278","Philippines",147162.799374008
"279","French Polynesia",40234.9770033083
"280","Marshall Islands",75816.4309491648
"281","Hawaii",158072.822946366
"282","Japan",168815.390204123
"283","Hawaii",106091.950514291
"284","Line Group",48337.8465764939
"285","Papua New Guinea",74985.0757381734
"286","French Polynesia",94679.9569399157
"287","Howland and Baker islands",59532.9334276476
"288","Marshall Islands",132054.220629276
"289","Jarvis Island",63339.770722616
"290","Palau",152235.216747193
"291","Indonesia",91707.1026812482
"292","Cook Islands",140371.295078556
"293","Marshall Islands",362.0770985202
"294","Guam",79834.745190743
"295","Philippines",182282.050088515
"296","Micronesia",2055.06753039931
"297","French Polynesia",70290.3543932976
"298","Hawaii",168599.342642366
"299","French Polynesia",41799.1969766675
"300","French Polynesia",104619.602748861
"301","Johnston Atoll",123823.724923336
"302","Japan",123573.460119116
"303","Micronesia",116714.366043583
"304","Japan",145925.467807517
"305","Palmyra Atoll",149024.886737498
"306","French Polynesia",110945.458154054
"307","Palmyra Atoll",139555.006470137
"308","Philippines",130122.730793656
"309","Gilbert Islands",55053.5066827857
"310","Marshall Islands",166190.348787163
"311","Johnston Atoll",133842.465002832
"312","Howland and Baker islands",39502.6994130149
"313","Marshall Islands",130930.39016896
"314","Marshall Islands",177372.614771715
"315","Marshall Islands",67016.7597332135
"316","Johnston Atoll",108624.126358046
"317","Micronesia",27533.3147333153
"318","French Polynesia",40600.4968894725
"319","Johnston Atoll",138918.540121649
"320","Solomon Islands",27387.7306670753
"321","Johnston Atoll",134614.579943439
"322","Papua New Guinea",59888.5844775851
"323","French Polynesia",36880.398015107
"324","Johnston Atoll",142642.066039861
"325","Line Group",32825.176525316
"326","Micronesia",4456.07237534675
"327","Japan",115783.059633967
"328","Philippines",137673.530853528
"329","Solomon Islands",82193.1189541425
"330","Marshall Islands",175545.299116045
"331","Line Group",32506.2971870553
"332","Jarvis Island",167795.777292033
"333","Northern Mariana Islands",14530.2060470467
"334","Gilbert Islands",81200.2948453774
"335","Johnston Atoll",125092.618490196
"336","Howland and Baker islands",158128.147966797
"337","Marshall Islands",117292.802726709
"338","Jarvis Island",139790.497218791
"339","Japan",145596.749400133
"340","French Polynesia",92811.9894396293
"341","Cook Islands",70426.0524632961
"342","Palau",29745.7504430147
"343","French Polynesia",154891.804561097
"344","Papua New Guinea",19210.659417303
"345","Wake Island",21928.439044754
"346","Line Group",2869.89216096775
"347","Papua New Guinea",33198.5898498354
"348","Hawaii",16210.7991528482
"349","Hawaii",180835.944986062
"350","Marshall Islands",156099.035203668
"351","French Polynesia",45284.5445417918
"352","Papua New Guinea",149022.001330366
"353","Wake Island",176480.074603677
"354","Northern Mariana Islands",52124.316999444
"355","Tuvalu",9329.31901562437
"356","Gilbert Islands",140364.451647797
"357","Northern Mariana Islands",65982.692613207
"358","Palmyra Atoll",47644.3956026301
"359","Howland and Baker islands",164628.887281803
"360","Line Group",104445.042566657
"361","Papua New Guinea",26124.5032050766
"362","Philippines",10523.2219554282
"363","French Polynesia",162182.546926107
"364","Palmyra Atoll",48944.1340801975
"365","Jarvis Island",169375.615104328
"366","Nauru",27538.4615520431
"367","Marshall Islands",106254.755130477
"368","Cook Islands",87732.2469379562
"369","Hawaii",65328.8565048388
"370","Hawaii",54128.5813975864
"371","Solomon Islands",48285.4723950428
