"","eez","Dist"
"363","Palmyra Atoll",101529.821597136
"364","Johnston Atoll",3587.07333932883
"365","Micronesia",249901.453691957
"366","French Polynesia",644618.469912514
"367","Jarvis Island",78815.918863974
"368","Northern Mariana Islands",395295.076978707
"369","French Polynesia",245276.826727243
"370","Palmyra Atoll",121048.959294139
"371","Hawaii",299759.439015969
"372","Phoenix Group",121328.840361303
"373","Phoenix Group",157631.454598199
"374","Hawaii",433303.865090332
"375","Gilbert Islands",69947.7768607233
"376","Howland and Baker islands",407089.702654772
"377","Johnston Atoll",161928.167615696
"378","Phoenix Group",19700.5787637517
"379","French Polynesia",9507.83954452527
"380","Palmyra Atoll",62071.3683790616
"381","Marshall Islands",262013.697656099
"382","Palmyra Atoll",480322.041330398
"383","Palmyra Atoll",110730.65460036
"384","Hawaii",347504.643831717
"385","Marshall Islands",290550.769072372
"386","Hawaii",258835.958739193
"387","Line Group",19070.2110888029
"388","French Polynesia",581873.251367609
"389","Line Group",20966.0542003727
"390","Marshall Islands",393843.554450308
"391","French Polynesia",170461.364814839
"392","Phoenix Group",157224.749780507
"393","French Polynesia",315153.15141499
"394","Johnston Atoll",285015.214657523
"395","Johnston Atoll",581693.718213902
"396","Marshall Islands",585558.907772214
"397","Hawaii",200220.637821486
"398","Marshall Islands",614995.908291852
"399","Johnston Atoll",205191.480110654
"400","Johnston Atoll",725552.931515741
"401","French Polynesia",226132.805529825
"402","Marshall Islands",156140.134172906
"403","Phoenix Group",102809.944737902
"404","Gilbert Islands",177911.582667683
"405","Johnston Atoll",486557.3341444
"406","Guam",126486.435642637
"407","Palau",157613.724907421
"408","Johnston Atoll",121956.576964471
"409","French Polynesia",16902.1740625542
"410","Tuvalu",85005.092685553
"411","Nauru",6831.79885420169
"412","Nauru",27988.1052113267
"413","Micronesia",94587.1200019327
"414","Howland and Baker islands",286732.211180499
"415","Philippines",10746.0385436848
"416","Johnston Atoll",747494.736648126
"417","Johnston Atoll",755372.901808429
"418","Micronesia",108283.067020634
"419","Cook Islands",49931.334410639
"420","Johnston Atoll",351595.689090759
"421","Japan",191551.200956033
"422","Johnston Atoll",104996.23597107
"423","French Polynesia",359868.364264813
"424","French Polynesia",257967.519253268
"425","Marshall Islands",313893.882348852
"426","Hawaii",388873.914093991
"427","Palau",49954.0009242367
"428","French Polynesia",35037.5161046106
"429","Japan",331294.165297249
"430","Marshall Islands",797597.862653955
"431","Howland and Baker islands",263014.659419955
"432","Hawaii",95257.0636382748
"433","Japan",141811.109756181
"434","Marshall Islands",562522.768992516
"435","Johnston Atoll",555349.098467617
