FID,country,name,subcountry,id,Aire_CydEA,ORIG_FID,POINT_X,POINT_Y
128,KI,Gilbert Islands,GL,15,1054237.888,1,179.3331299,0.366516113
129,KI,Gilbert Islands,GL,15,1054237.888,1,179.3781128,0.289672852
130,KI,Gilbert Islands,GL,15,1054237.888,1,179.4210815,0.211914063
131,KI,Gilbert Islands,GL,15,1054237.888,1,179.526123,0
132,KI,Gilbert Islands,GL,15,1054237.888,1,179.5322876,-0.012512207
133,KI,Gilbert Islands,GL,15,1054237.888,1,179.6262817,-0.244689941
134,KI,Gilbert Islands,GL,15,1054237.888,1,179.7028809,-0.483581543
135,KI,Gilbert Islands,GL,15,1054237.888,1,179.7612915,-0.727111816
136,KI,Gilbert Islands,GL,15,1054237.888,1,179.7805176,-0.829406738
137,KI,Gilbert Islands,GL,15,1054237.888,1,179.7966919,-0.932189941
138,KI,Gilbert Islands,GL,15,1054237.888,1,179.8095093,-1.035583496
139,KI,Gilbert Islands,GL,15,1054237.888,1,179.8192749,-1.139099121
140,KI,Gilbert Islands,GL,15,1054237.888,1,179.8231201,-1.146606445
141,KI,Gilbert Islands,GL,15,1054237.888,1,179.8270874,-1.154174805
142,KI,Gilbert Islands,GL,15,1054237.888,1,179.8928833,-1.293884277
143,KI,Gilbert Islands,GL,15,1054237.888,1,179.9522705,-1.436584473
147,KI,Gilbert Islands,GL,15,1054237.888,1,180.0053711,-1.582214355
148,KI,Gilbert Islands,GL,15,1054237.888,1,180.0515137,-1.729675293
149,KI,Gilbert Islands,GL,15,1054237.888,1,180.0725708,-1.80657959
150,KI,Gilbert Islands,GL,15,1054237.888,1,180.0919189,-1.883911133
151,KI,Gilbert Islands,GL,15,1054237.888,1,180.1116943,-1.970275879
152,KI,Gilbert Islands,GL,15,1054237.888,1,180.1290894,-2.056884766
153,KI,Gilbert Islands,GL,15,1054237.888,1,180.1439209,-2.143798828
154,KI,Gilbert Islands,GL,15,1054237.888,1,180.1641235,-2.291687012
155,KI,Gilbert Islands,GL,15,1054237.888,1,180.1779175,-2.440002441
156,KI,Gilbert Islands,GL,15,1054237.888,1,180.1848145,-2.588806152
157,KI,Gilbert Islands,GL,15,1054237.888,1,180.1853027,-2.737976074
158,KI,Gilbert Islands,GL,15,1054237.888,1,180.1791992,-2.886901855
159,KI,Gilbert Islands,GL,15,1054237.888,1,180.166687,-3.035583496
160,KI,Gilbert Islands,GL,15,1054237.888,1,180.1472168,-3.183288574
161,KI,Gilbert Islands,GL,15,1054237.888,1,180.1217041,-3.330200195
162,KI,Gilbert Islands,GL,15,1054237.888,1,180.0894165,-3.475708008
163,KI,Gilbert Islands,GL,15,1054237.888,1,180.0581055,-3.594177246
164,KI,Gilbert Islands,GL,15,1054237.888,1,180.022522,-3.711303711
165,KI,Gilbert Islands,GL,15,1054237.888,1,180,-3.777099609
NA,NA,NA,NA,NA,NA,NA,NA,NA
167,MP,Northern Mariana Islands,MP,16,744743.6759,2,148.0991211,12.29650879
168,MP,Northern Mariana Islands,MP,16,744743.6759,2,142.1303101,15.70568848
169,MP,Northern Mariana Islands,MP,16,744743.6759,2,142.2000732,16.00012207
170,MP,Northern Mariana Islands,MP,16,744743.6759,2,142.2501221,16.85009766
171,MP,Northern Mariana Islands,MP,16,744743.6759,2,142.4000854,17.60009766
172,MP,Northern Mariana Islands,MP,16,744743.6759,2,142.0501099,18.70007324
173,MP,Northern Mariana Islands,MP,16,744743.6759,2,141.7000732,19.40008545
174,MP,Northern Mariana Islands,MP,16,744743.6759,2,141.5001221,20.00012207
175,MP,Northern Mariana Islands,MP,16,744743.6759,2,141.4810791,20.89532471
176,MP,Northern Mariana Islands,MP,16,744743.6759,2,145.0963135,23.85913086
177,MP,Northern Mariana Islands,MP,16,744743.6759,2,146.0001221,23.80010986
178,MP,Northern Mariana Islands,MP,16,744743.6759,2,146.8500977,23.35009766
179,MP,Northern Mariana Islands,MP,16,744743.6759,2,147.7501221,22.65008545
180,MP,Northern Mariana Islands,MP,16,744743.6759,2,148.3001099,21.90008545
181,MP,Northern Mariana Islands,MP,16,744743.6759,2,148.8001099,21.00012207
182,MP,Northern Mariana Islands,MP,16,744743.6759,2,149.0001221,20.50012207
183,MP,Northern Mariana Islands,MP,16,744743.6759,2,149.0557251,20.00012207
