V1,V2,eez,V3,
179.1497192,-23.80218506,I7,179.1497192,
179.1583252,-23.80749512,I7,179.1583252,
179.166687,-23.81280518,I7,179.166687,
179.1751099,-23.81799316,I7,179.1751099,
179.1837158,-23.82299805,I7,179.1837158,
179.1918945,-23.82830811,I7,179.1918945,
179.2006836,-23.83361816,I7,179.2006836,
179.2089233,-23.83862305,I7,179.2089233,
179.2175293,-23.84362793,I7,179.2175293,
179.2260742,-23.84887695,I7,179.2260742,
179.2344971,-23.85388184,I7,179.2344971,
179.243103,-23.85888672,I7,179.243103,
179.251709,-23.8638916,I7,179.251709,
179.2603149,-23.86889648,I7,179.2603149,
179.2689209,-23.87390137,I7,179.2689209,
179.2775269,-23.87890625,I7,179.2775269,
179.2860718,-23.88360596,I7,179.2860718,
179.2946777,-23.88861084,I7,179.2946777,
179.3032837,-23.89331055,I7,179.3032837,
179.3123169,-23.89831543,I7,179.3123169,
179.3209229,-23.90307617,I7,179.3209229,
179.3295288,-23.90808105,I7,179.3295288,
179.3383179,-23.91278076,I7,179.3383179,
179.3469238,-23.91748047,I7,179.3469238,
179.355896,-23.92218018,I7,179.355896,
179.364502,-23.92687988,I7,179.364502,
179.373291,-23.93157959,I7,179.373291,
179.3823242,-23.93640137,I7,179.3823242,
179.3911133,-23.9407959,I7,179.3911133,
179.3997192,-23.94549561,I7,179.3997192,
179.4086914,-23.95019531,I7,179.4086914,
179.4174805,-23.95471191,I7,179.4174805,
179.4265137,-23.95910645,I7,179.4265137,
179.4353027,-23.96380615,I7,179.4353027,
179.4442749,-23.96832275,I7,179.4442749,
179.453125,-23.97277832,I7,179.453125,
179.4619141,-23.97711182,I7,179.4619141,
179.4711304,-23.98168945,I7,179.4711304,
179.4801025,-23.98608398,I7,179.4801025,
179.4888916,-23.99047852,I7,179.4888916,
179.4981079,-23.99468994,I7,179.4981079,
179.506897,-23.99908447,I7,179.506897,
179.5161133,-24.00360107,I7,179.5161133,
179.5250854,-24.00769043,I7,179.5250854,
179.5343018,-24.01190186,I7,179.5343018,
179.5430908,-24.01641846,I7,179.5430908,
179.5523071,-24.02050781,I7,179.5523071,
179.5615234,-24.02471924,I7,179.5615234,
179.5703125,-24.02880859,I7,179.5703125,
179.5795288,-24.03308105,I7,179.5795288,
179.5886841,-24.03710938,I7,179.5886841,
179.5979004,-24.04138184,I7,179.5979004,
179.6068726,-24.04528809,I7,179.6068726,
179.6160889,-24.04937744,I7,179.6160889,
179.6253052,-24.05328369,I7,179.6253052,
179.6345215,-24.05749512,I7,179.6345215,
179.6436768,-24.06140137,I7,179.6436768,
179.6528931,-24.06530762,I7,179.6528931,
179.6622925,-24.06939697,I7,179.6622925,
179.6715088,-24.07330322,I7,179.6715088,
179.6807251,-24.07720947,I7,179.6807251,
179.6901245,-24.08111572,I7,179.6901245,
179.6992798,-24.0847168,I7,179.6992798,
179.708313,-24.08862305,I7,179.708313,
179.7178955,-24.0925293,I7,179.7178955,
179.7269287,-24.0960083,I7,179.7269287,
179.7365112,-24.09997559,I7,179.7365112,
179.7459106,-24.10357666,I7,179.7459106,
179.755127,-24.10717773,I7,179.755127,
179.7645264,-24.11108398,I7,179.7645264,
179.7739258,-24.11468506,I7,179.7739258,
179.7833252,-24.11828613,I7,179.7833252,
179.7924805,-24.12188721,I7,179.7924805,
179.8018799,-24.12548828,I7,179.8018799,
179.8115234,-24.12890625,I7,179.8115234,
179.8209229,-24.13250732,I7,179.8209229,
179.8303223,-24.1361084,I7,179.8303223,
179.8397217,-24.1394043,I7,179.8397217,
179.8493042,-24.1427002,I7,179.8493042,
179.8587036,-24.14630127,I7,179.8587036,
179.8682861,-24.14971924,I7,179.8682861,
179.8779297,-24.15307617,I7,179.8779297,
179.8873291,-24.15631103,I7,179.8873291,
179.8967285,-24.159729,I7,179.8967285,
179.9064941,-24.16308594,I7,179.9064941,
179.9158936,-24.16638184,I7,179.9158936,
179.925293,-24.16931152,I7,179.925293,
179.9351196,-24.17279053,I7,179.9351196,
179.944519,-24.17578125,I7,179.944519,
179.9542847,-24.17919922,I7,179.9542847,
179.9636841,-24.18218994,I7,179.9636841,
179.9733276,-24.18530273,I7,179.9733276,
179.9829102,-24.18829346,I7,179.9829102,
179.9924927,-24.19158936,I7,179.9924927,
180,-24.19355022,I7,180,
NA,NA,NA,NA,
164.2122803,-28.13952637,I7,164.2122803,
164.1333008,-28.47497559,I7,164.1333008,
164.0858765,-28.99951172,I7,164.0858765,
164.0858765,-29.20751953,I7,164.0858765,
164.1491089,-29.62811279,I7,164.1491089,
164.2335205,-29.94952393,I7,164.2335205,
164.4180908,-30.41259766,I7,164.4180908,
164.6395264,-30.79071045,I7,164.6395264,
164.871521,-31.1072998,I7,164.871521,
165.1773071,-31.42388916,I7,165.1773071,
165.5095215,-31.70269775,I7,165.5095215,
165.873291,-31.90600586,I7,165.873291,
166.2213135,-32.10449219,I7,166.2213135,
166.5957031,-32.23199463,I7,166.5957031,
166.9490967,-32.33599854,I7,166.9490967,
167.1917114,-32.38800049,I7,167.1917114,
167.6082764,-32.42578125,I7,167.6082764,
167.9824829,-32.44470215,I7,167.9824829,
168.409729,-32.42108154,I7,168.409729,
168.5203247,-32.4052124,I7,168.5203247,
168.4746704,-32.4788208,I7,168.4746704,
168.3704834,-32.6137085,I7,168.3704834,
168.3237305,-32.7164917,I7,168.3237305,
168.2929077,-32.7612915,I7,168.2929077,
168.2655029,-32.83178711,I7,168.2655029,
168.1895142,-32.96020508,I7,168.1895142,
168.1422729,-33.11547852,I7,168.1422729,
168.0740967,-33.26538086,I7,168.0740967,
168.0523071,-33.38391113,I7,168.0523071,
168.0366821,-33.42449951,I7,168.0366821,
168.0289307,-33.48797607,I7,168.0289307,
168.0015259,-33.578125,I7,168.0015259,
167.9902954,-33.61401367,I7,167.9902954,
167.9841309,-33.63549805,I7,167.9841309,
167.9766846,-33.79559326,I7,167.9766846,
167.947876,-33.95397949,I7,167.947876,
167.9467163,-33.97192383,I7,167.9467163,
167.9536743,-34.06921387,I7,167.9536743,
167.9519043,-34.08081055,I7,167.9519043,
167.9542847,-34.1027832,I7,167.9542847,
167.9525146,-34.11749268,I7,167.9525146,
167.9577026,-34.15649414,I7,167.9577026,
167.9487305,-34.30841064,I7,167.9487305,
167.9526978,-34.33050537,I7,167.9526978,
167.9586792,-34.35980225,I7,167.9586792,
167.9832764,-34.48681641,I7,167.9832764,
167.9960938,-34.66711426,I7,167.9960938,
168.0250854,-34.75439453,I7,168.0250854,
168.0272827,-34.7744751,I7,168.0272827,
168.0526733,-34.84228516,I7,168.0526733,
168.0825195,-34.99591064,I7,168.0825195,
168.1613159,-35.16442871,I7,168.1613159,
168.2191162,-35.33862305,I7,168.2191162,
