name,POINT_X,POINT_Y
Nauru,165.6801147,-3.647705078
Nauru,165.6696777,-3.643798828
Nauru,165.659729,-3.639709472
Nauru,165.6494751,-3.635498047
Nauru,165.6395264,-3.631408691
Nauru,165.6292725,-3.627197266
Nauru,165.6193237,-3.622802734
Nauru,165.6088867,-3.618591309
Nauru,165.598877,-3.614379882
Nauru,165.5889282,-3.609985352
Nauru,165.5789185,-3.605529785
Nauru,165.5689087,-3.601013183
Nauru,165.5587158,-3.596679688
Nauru,165.5487061,-3.592224121
Nauru,165.5386963,-3.587707519
Nauru,165.5289307,-3.583312989
Nauru,165.5189209,-3.578613282
Nauru,165.5089111,-3.57409668
Nauru,165.4989014,-3.569396973
Nauru,165.4888916,-3.564697266
Nauru,165.4793091,-3.559997559
Nauru,165.4692993,-3.555297851
Nauru,165.4594727,-3.550476074
Nauru,165.4495239,-3.545776367
Nauru,165.4396973,-3.540710449
Nauru,165.4296875,-3.536010743
Nauru,165.420105,-3.53112793
Nauru,165.4102783,-3.526123046
Nauru,165.4006958,-3.521301269
Nauru,165.3909302,-3.516418457
Nauru,165.3809204,-3.511413574
Nauru,165.3710938,-3.506103515
Nauru,165.3615112,-3.501098633
Nauru,165.3519287,-3.49609375
Nauru,165.3422852,-3.490783691
Nauru,165.3325195,-3.485412597
Nauru,165.322876,-3.480529785
Nauru,165.3132935,-3.475280761
Nauru,165.3037109,-3.469909668
Nauru,165.2943115,-3.464416504
Nauru,165.2844849,-3.459106445
Nauru,165.2750854,-3.453918457
Nauru,165.2653198,-3.448303222
Nauru,165.2559204,-3.442993165
Nauru,165.246521,-3.4375
Nauru,165.2368774,-3.431884766
Nauru,165.227478,-3.426391601
Nauru,165.2180786,-3.420776368
Nauru,165.2086792,-3.415283203
Nauru,165.1992798,-3.409729004
Nauru,165.1896973,-3.403808594
Nauru,165.1802979,-3.39831543
Nauru,165.1710815,-3.39251709
Nauru,165.1616821,-3.386901856
Nauru,165.1525269,-3.381103516
Nauru,165.1431274,-3.375305175
Nauru,165.1339111,-3.369384766
Nauru,165.1245117,-3.363586425
Nauru,165.1152954,-3.35748291
Nauru,165.1060791,-3.35168457
Nauru,165.0969238,-3.345825195
Nauru,165.0878906,-3.339721679
Nauru,165.0786743,-3.333618164
Nauru,165.069519,-3.327514649
Nauru,165.0603027,-3.321594238
Nauru,165.0510864,-3.315490723
Nauru,165.0422974,-3.309082031
Nauru,165.0330811,-3.302978516
Nauru,165.0239258,-3.296875
Nauru,165.0150757,-3.290527343
Nauru,165.0061035,-3.284423828
Nauru,164.9968872,-3.278076172
Nauru,164.9880981,-3.271606446
Nauru,164.9793091,-3.265197754
Nauru,164.9702759,-3.258911133
Nauru,164.9614868,-3.252502442
Nauru,164.9525146,-3.24609375
Nauru,164.9437256,-3.239685058
Nauru,164.9346924,-3.232910156
Nauru,164.9259033,-3.22668457
Nauru,164.9172974,-3.219909668
Nauru,164.9083252,-3.213317871
Nauru,164.8997192,-3.20690918
Nauru,164.8909302,-3.200195313
Nauru,164.8823242,-3.193603516
Nauru,164.8737183,-3.186889649
Nauru,164.8651123,-3.179992676
Nauru,164.8565063,-3.173278809
Nauru,164.8479004,-3.166381836
Nauru,164.8392944,-3.159729004
Nauru,164.8306885,-3.152709961
Nauru,164.8218994,-3.145812988
Nauru,164.8132935,-3.139099121
Nauru,164.8051147,-3.132202149
Nauru,164.7965088,-3.125305176
Nauru,164.7880859,-3.117980957
Nauru,164.77948,-3.111083984
Nauru,164.7711182,-3.104187011
Nauru,164.7628784,-3.096923828
Nauru,164.7545166,-3.090026856
Nauru,164.7460937,-3.082702637
Nauru,164.737915,-3.075500488
Nauru,164.7294922,-3.068298339
Nauru,164.7211304,-3.061096192
Nauru,164.7130737,-3.053894043
Nauru,164.7047119,-3.046691894
Nauru,164.6967163,-3.039428711
Nauru,164.6882935,-3.032226563
Nauru,164.6802979,-3.024719238
Nauru,164.6721191,-3.017517089
Nauru,164.6638794,-3.010009766
Nauru,164.6558838,-3.002502441
Nauru,164.6478882,-2.994995117
Nauru,164.6397095,-2.987487793
Nauru,164.631897,-2.979980469
Nauru,164.6239014,-2.972412109
Nauru,164.6159058,-2.965026855
Nauru,164.6080933,-2.957519531
Nauru,164.6000977,-2.949707031
Nauru,164.5922852,-2.942199707
Nauru,164.5844727,-2.934387207
Nauru,164.5764771,-2.926879883
Nauru,164.5687256,-2.919189453
Nauru,164.5609131,-2.911376953
Nauru,164.5531006,-2.903625489
Nauru,164.5457153,-2.895812988
Nauru,164.5379028,-2.888000488
Nauru,164.5300903,-2.880187988
Nauru,164.522522,-2.872192383
Nauru,164.5147095,-2.864379883
Nauru,164.5073242,-2.856384277
Nauru,164.4996948,-2.848510742
Nauru,164.4918823,-2.840576172
Nauru,164.4844971,-2.832519532
Nauru,164.4769287,-2.824401855
Nauru,164.4697266,-2.81640625
Nauru,164.4622803,-2.808288574
Nauru,164.4547119,-2.800292969
Nauru,164.4473267,-2.792175293
Nauru,164.4401245,-2.784179687
Nauru,164.4329224,-2.775817871
Nauru,164.425293,-2.767700196
Nauru,164.4180908,-2.759399414
Nauru,164.4108887,-2.751098633
Nauru,164.4036865,-2.742980957
Nauru,164.3964844,-2.734680176
Nauru,164.3892822,-2.726379394
Nauru,164.381897,-2.718078613
Nauru,164.3751221,-2.709716797
Nauru,164.3679199,-2.701416016
Nauru,164.3609009,-2.692687988
Nauru,164.3538818,-2.684387207
Nauru,164.3466797,-2.676086426
Nauru,164.3397217,-2.667480469
Nauru,164.3328857,-2.659179688
Nauru,164.3259277,-2.650512695
Nauru,164.3189087,-2.641906738
Nauru,164.3123169,-2.633300781
Nauru,164.3052979,-2.624694824
Nauru,164.2987061,-2.616088867
